id,content,timestamp,username,userdisplayname,userlocation,retweetCount,likeCount,language,cleaned_content,sentiment_scores,compound_score,sentiment
1658623362199871492,#100hrs #FYP #InterMilan #Hilda https://t.co/qfrqQDlbfj,2023-05-16 23:59:59+00:00,Shakipy_,Shakipy,Lagos,1,2,qme,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1658618355161391110,"Congratulations To Hilda Bassey
Thank You For Putting Nigeria On The Map...

#hilda #100hrs #Hajia4Real #ChampionsLeague #HildaBacci #hildabaci #Hildabaccicookathon #Hildabacicookathon https://t.co/bhOjewFDgx",2023-05-16 23:40:06+00:00,obahypeofficial,Oba Hype Of Africa,"Accra, Ghana",0,1,en,Congratulations To Hilda Bassey Thank You For Putting Nigeria On The Map,"{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.7506}",0.7506,Positive
1658617314806251521,"Congrats To Hilda Bassey
Thank for putting Nigeria On the Map...

#hilda #hildabassey #100yrs #mona4real https://t.co/aFRBbkwEVg",2023-05-16 23:35:58+00:00,hypeafrobeatz,HypeAfroBeatz Promotions,New Africa,0,2,en,Congrats To Hilda Bassey Thank for putting Nigeria On the Map,"{'neg': 0.0, 'neu': 0.604, 'pos': 0.396, 'compound': 0.7096}",0.7096,Positive
1658615881717497858,"Age gracefully Sir.

Best wishes always llnp.
#Hilda #Asake @davido @DeleMomodu @seyiamakinde @OfficialPDPNig https://t.co/ovVfo72iql",2023-05-16 23:30:16+00:00,PrincekoladeB,Princekolade balo,,0,3,en,Age gracefully Sir Best wishes always llnp davido DeleMomodu seyiamakinde OfficialPDPNig,"{'neg': 0.0, 'neu': 0.465, 'pos': 0.535, 'compound': 0.8481}",0.8481,Positive
1658614156751151106,"Congratulations Gurl U Deserve it

#Hilda #Hildabacicookathon https://t.co/8JFqsQruob",2023-05-16 23:23:25+00:00,MagajiWorld,Jobless Man,,0,0,en,Congratulations Gurl U Deserve it,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.5994}",0.5994,Positive
1658613002298597377,"Anyone who can solve this problem is considered to have exceptional intelligence.
Navigate to the link to view the answer.
https://t.co/voLBaPb8Pz

#solveit #Hilda https://t.co/zAWAWHm0MF",2023-05-16 23:18:49+00:00,cathleen_adkins,CathleenAdkins🇺🇸☺️🗽,,0,0,en,Anyone who can solve this problem is considered to have exceptional intelligence Navigate to the link to view the answer,"{'neg': 0.125, 'neu': 0.679, 'pos': 0.196, 'compound': 0.1962}",0.1962,Positive
1658612695946387457,"@yabaleftonline @Mr.Faithful of Rivers state (Ogoni) is here to break record,no be by gas cooking.😏
Na here we go know who cook pass😉, #Hilda dey play.🙄😌 https://t.co/9vNqQaryJ1",2023-05-16 23:17:36+00:00,MrFaithfulTv,Mr.Faithful,Nigeria,1,1,en,yabaleftonline MrFaithful of Rivers state Ogoni is here to break recordno be by gas cooking Na here we go know who cook pass dey play,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.34}",0.34,Positive
1658612117006630914,"@Mr.Faithful of Rivers state (Ogoni) is here to break record,no be by gas cooking.😏
Na here we go know who cook pass😉, #Hilda dey play.🙄😌 https://t.co/8SOJaju0TU",2023-05-16 23:15:18+00:00,MrFaithfulTv,Mr.Faithful,Nigeria,0,1,en,MrFaithful of Rivers state Ogoni is here to break recordno be by gas cooking Na here we go know who cook pass dey play,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.34}",0.34,Positive
1658610072216391681,Such a talent #Hilda https://t.co/D2KwV4QQlx,2023-05-16 23:07:11+00:00,TRealsommiee,Sommiee Sommiee,,1,1,en,Such a talent,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,Positive
1658609751196942337,"#Hilda 혹한기 냉탕 - 나까的插画🙈 #cartoon   
Source: https://t.co/W2uXhHkfZ8 https://t.co/cujsYsORxd",2023-05-16 23:05:54+00:00,Brianna49359493,Brianna Meyers,,0,1,ja,Source,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1658609407851151362,"Men are scum but your puna dn take more than 30 scums Sister meg
#ChampionsLeague #Hilda #100hrs #wike #inter #coconutic",2023-05-16 23:04:32+00:00,NapstaBlaq,coconuticnap🥥🌴,,0,0,en,Men are scum but your puna dn take more than 30 scums Sister meg,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1658607785431511040,"My birthday is this week Saturday 21st May 2023 ,please which celebrity is celebrating birthday with me TAG m 🙏.

What I need is your prayers to excel,gifts and call that's all ,any more than that is accepted .

#BirthdayBoy 
#Hilda",2023-05-16 22:58:06+00:00,sankasdboy,Sankasdboy 🍥,"Lekki, Lagos",1,1,en,My birthday is this week Saturday 21st May 2023 please which celebrity is celebrating birthday with me TAG m What I need is your prayers to excelgifts and call thats all any more than that is accepted,"{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.7964}",0.7964,Positive
1658607267242037248,"Why pay 35,000 naira for just a room, when you can own a home for the same price 🤔🤔🤔🤔
NA WUSE ZONE TWO THIS BETTER PACKAGE DEYY OHHH
07037519997 NA MY CONTROL
#Hilda #Watermelon #anambra #kanokari  #lagos
#abuja https://t.co/ivDRkKBMGn",2023-05-16 22:56:02+00:00,ebabatunde003,Emmanuel babatunde,Independence way kaduna ng,1,1,en,Why pay 35000 naira for just a room when you can own a home for the same price NA WUSE ZONE TWO THIS BETTER PACKAGE DEYY OHHH 07037519997 NA MY CONTROL,"{'neg': 0.044, 'neu': 0.843, 'pos': 0.113, 'compound': 0.4995}",0.4995,Positive
1658606049102815233,"Hope you like it?
Your dream house

#architecture #3dmodeling #house #building #design #designthinking #Hilda #TrendingNow #trend #ChampionsLeague https://t.co/mc2zhzGWuH",2023-05-16 22:51:12+00:00,BlessedBuilding,Blessed Building,Chevron ,3,6,en,Hope you like it Your dream house,"{'neg': 0.0, 'neu': 0.351, 'pos': 0.649, 'compound': 0.7506}",0.7506,Positive
1658604691721158665,Our Students preparing for English Language exam (WAEC). PLS WISH OUR STUDENTS SUCCESS #Hilda #seunkuti https://t.co/Me22GfR5Nz,2023-05-16 22:45:48+00:00,Peace_college,Peace College,Lagos,0,3,en,Our Students preparing for English Language exam WAEC PLS WISH OUR STUDENTS SUCCESS,"{'neg': 0.0, 'neu': 0.503, 'pos': 0.497, 'compound': 0.872}",0.872,Positive
1658604005105315847,"I've missed this blue app

#Hilda",2023-05-16 22:43:04+00:00,QuittyT,Marytheresa Ochu,Abuja Nigeria,0,0,en,Ive missed this blue app,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative
1658603933361664002,"“Please don’t make it a competition” – Indian chef, Lata Tondon who held the Guinness record Hilda Baci allegedly broke, appeals to Nigerians

#Hildabaccicookathon #Hilda #hildabaci #HildaBacci #Hildabacicookathon https://t.co/AX6YujOaxX",2023-05-16 22:42:47+00:00,VincentOkoye18,Vincent Okoye™,Lagos,0,1,en,Please dont make it a competition Indian chef Lata Tondon who held the Guinness record Hilda Baci allegedly broke appeals to Nigerians,"{'neg': 0.116, 'neu': 0.788, 'pos': 0.095, 'compound': -0.128}",-0.128,Negative
1658598765412876295,"Why will you tag them ipob?? But the main new said  they were killed by gunmen,get  sense for once bigot✌️#GwR #Embassy #Hilda",2023-05-16 22:22:15+00:00,EzeohaMila,c#orkM!l@✌️,Nigeria,0,0,en,Why will you tag them ipob But the main new said they were killed by gunmenget sense for once bigot,"{'neg': 0.248, 'neu': 0.752, 'pos': 0.0, 'compound': -0.8047}",-0.8047,Negative
1658598344954880000,"My new wallpaper thanks to @obohdraws  

#100hrs #Hilda #Hildabaccicookathon #HildaBacci #Hildabacicookathon #HildaBacci #hildabaci #guinessworldrecord https://t.co/ZGja8ASlwS",2023-05-16 22:20:35+00:00,TCee_Ogb,Agent Of Tech 💻,Light Realm,1,3,en,My new wallpaper thanks to obohdraws,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",0.4404,Positive
1658597789612355584,Esabod Global News: #Hilda Baci – Shehu Sani Sends Out Warning To Nige... https://t.co/itT2KM601x,2023-05-16 22:18:22+00:00,Esabod,ESABOD ENTERPRISES,Ireland/Turkey,0,0,en,Esabod Global News Baci Shehu Sani Sends Out Warning To Nige,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.34}",-0.34,Negative
1658597306130677763,Kindly Rt #100hrs #ChampionsLeague #Cannes2023 #hilda #bts #เลือกตั้ง66,2023-05-16 22:16:27+00:00,Roggedybaba,Oluwatobi Adebayo,Abuja,0,0,en,Kindly Rt 66,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4939}",0.4939,Positive
1658594669742178311,"Record Breaker Hilda https://t.co/oZjQXGI1jK via @YouTube 
#Hildabaccicookathon #Hilda #hildabaci #Hildabacicookathon",2023-05-16 22:05:59+00:00,Football01World,Sammy_Jay,,0,0,en,Record Breaker Hilda via YouTube,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1658594213779390466,"We are live 🕊️

#hilda #Hildabaccicookathon #asake #portable #hildabaci #GuinnessWorldRecord #tinubu #emilokan #olamide",2023-05-16 22:04:10+00:00,baseonent,Base On Entertainment,,0,2,en,We are live,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1658593531789754370,"Cold contents 🤟🌊⚠️
#Hilda #FAST10 #الهلال_الاتحاد #นายกคนที่30 https://t.co/HrYPYC2sPM",2023-05-16 22:01:27+00:00,TheMostGraced,Bluey The Kidd❤️‍🩹🥷,Nigeria,0,0,en,Cold contents 30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
1658591734085959680,"And yes she did it 💃🙌🙌
Congratulations my love 😘😘
#Hilda #Hildabaccicookathon #hildabaci #guinessworldrecord https://t.co/arSzeFPIUe",2023-05-16 21:54:19+00:00,YourHater47448,here for Hilda Baci,,0,0,en,And yes she did it Congratulations my love,"{'neg': 0.0, 'neu': 0.316, 'pos': 0.684, 'compound': 0.8957}",0.8957,Positive
1658590273147142144,"Come to TEMU for a free trial. Download Temu app and search this code &lt;149715159&gt;, and you'll receive two free self-selected products.

#Hilda
https://t.co/2GR4oLYHjt",2023-05-16 21:48:30+00:00,KTompkins2,K_Tompkins,,0,0,en,Come to TEMU for a free trial Download Temu app and search this code lt149715159gt and youll receive two free selfselected products,"{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.765}",0.765,Positive
1658590059916935168,"Be sincere, What can you do for 100 hours ? 

I can make Music and Create Sounds. #Hilda",2023-05-16 21:47:40+00:00,IyanuOsho,IYÒ 🧙🏾‍♂️,Nigeria,0,0,en,Be sincere What can you do for 100 hours I can make Music and Create Sounds,"{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.5859}",0.5859,Positive
